keyword_id,name
quasi-newton methods,Quasi-Newton Methods
bfgs update,BFGS Update
spectral condition number optimization,Spectral Condition Number Optimization
matrix perturbation,Matrix Perturbation
willingness to adopt wom,Willingness to adopt WOM
language intensity of brand fan wom,Language intensity of brand fan WOM
freedom threats,Freedom threats
technology acceptance model,Technology acceptance model
digital twin,digital twin
waking lion culture ip sustainability,Waking Lion Culture IP Sustainability
design and communication,Design and Communication
objective optimization model,objective optimization model
single-objective optimization,single-objective optimization
grid method,grid method
global iterative search algorithm,global iterative search algorithm
non-intrusive load monitoring,Non-intrusive load monitoring
improved fuzzy clustering,Improved fuzzy clustering
genetic algorithm,genetic algorithm
feature weight coefficient,Feature weight coefficient
gaze-based interaction,gaze-based interaction
graph visualization,graph visualization
metro map,metro map
hfpcb,HFPCB
micro-holes,Micro-holes
chip removal,Chip removal
micro-drill breakage,Micro-drill breakage
hole wall debris,Hole wall debris
independent objective subset,Independent objective subset
co-evolution algorithm,Co-evolution algorithm
mobile healthcare,Mobile Healthcare
decentralized data management,Decentralized Data Management
consortium blockchain,consortium blockchain
pervasive computing,Pervasive Computing
wsrf,WSRF
optimal distinctiveness,Optimal distinctiveness
organizational impression management,Organizational impression management
organizational reputation,Organizational reputation
esg disclosures,ESG disclosures
tumor segmentation,Tumor Segmentation
multi-modal medical images,Multi-modal Medical Images
graph reasoning,Graph Reasoning
automatic parking,Automatic parking
path planning,path planning
separation axis theorem,Separation axis theorem
point-based genetic algorithm,Point-based genetic algorithm
robust palmprint identification,Robust palmprint identification
complete and stable local direction feature,Complete and stable local direction feature
discriminative projection learning,Discriminative projection learning
x-ray micro-ct,X-ray micro-CT
pcb array holes,PCB array holes
straightness error,Straightness error
process capability index,Process capability index
cylindricity error,Cylindricity error
three-dimensional surface roughness,Three-dimensional surface roughness
change detection,change detection
remote sensing,Remote sensing
self-attention,self-attention
feature aggregation,feature aggregation
multi-scale analysis,multi-scale analysis
limb flexibility,Limb flexibility
flexibility qualities,Flexibility qualities
ergonomics,Ergonomics
anthropometric measurements,Anthropometric measurements
named entity recognition,Named entity recognition
word-level character feature attention mechanism,Word-level character feature attention mechanism
bilstm,BiLSTM
cnn,CNN
n-gram pooling feature attention mechanism,N-gram pooling feature attention mechanism
multi-label classification,Multi-label classification
variational inference,variational inference
svms,SVMs
label projection,Label projection
labels relationship,Labels relationship
electromagnetic field,electromagnetic field
temperature rise,Temperature rise
slotting,Slotting
permanent magnet,Permanent magnet
scenario,Scenario
state transition,State transition
particle swarm optimization,particle swarm optimization
zero-order optimization,Zero-order optimization
large-scale optimization,large-scale optimization
natural language processing,natural language processing
colorectal tumor pathological text,colorectal tumor pathological text
electronic medical record,electronic medical record
artificial intelligence,artificial intelligence
few-shot text classification,Few-shot text classification
prompt-based tuning,Prompt-based tuning
semantic parsing,Semantic parsing
large language models,Large Language Models
in-context learning,In-context learning
self-correction,Self-correction
multimodal named entity recognition,Multimodal named entity recognition
dual-stream transformer,Dual-Stream Transformer
cross-modal fusion,cross-modal fusion
contrastive learning,contrastive learning
conditional random field,Conditional Random Field
sequence labeling,Sequence labeling
experience design,Experience Design
innovation of intangible cultural heritage,Innovation of Intangible Cultural Heritage
workshop,Workshop
teaching model,Teaching model
grinding,Grinding
granite,granite
surfactant,surfactant
digital mining,Digital mining
digital economy,digital economy
association rules,association rules
clustering analysis,clustering analysis
image classification,Image classification
pattern recognition,Pattern recognition
partial multi-label learning,Partial multi-label learning
noise disambiguation,Noise disambiguation
investment,Investment
consumption,consumption
reinsurance,Reinsurance
stochastic differential game,stochastic differential game
nash equilibrium,Nash equilibrium
multiple instance learning,multiple instance learning
multiple instance boost learning,Multiple instance boost learning
self-paced learning,Self-paced learning
constrained multi-objective optimization,Constrained multi-objective optimization
boundary search,boundary search
universum,Universum
safe-lbp,Safe-LBP
content-adaptive embedding,Content-adaptive embedding
compressive sensing,Compressive sensing
visually secure cipher image,Visually secure cipher image
image compression and encryption,Image compression and encryption
multi-label learning,Multi-label learning
multi-view learning,Multi-view learning
label correlation,Label correlation
multi-task classification,Multi-task classification
active learning,Active learning
support vector machine,Support vector machine
lung disease detection,Lung disease detection
depthwise separable convolution,Depthwise separable convolution
multi-scale attention,Multi-scale attention
uncertainty estimation,Uncertainty estimation
lesion-associated classification-guided,Lesion-associated classification-guided
industrial equipment,Industrial equipment
health status assessment,Health status assessment
fuzzy clustering,fuzzy clustering
coal-fired power plant,coal-fired power plant
desulffirization efficiency,desulffirization efficiency
long short-term memory(lstm) neural network,Long short-term memory(LSTM) neural network
prediction model,prediction model
bi-level optimization,Bi-level optimization
transfer learning,Transfer learning
cma-es,CMA-ES
fiber reinforcement,fiber reinforcement
strengthening,strengthening
concrete beam,concrete beam
servo stiffness,servo stiffness
simulation,Simulation
linear motor,linear motor
chinese landscape painting,Chinese Landscape Painting
the art of enframed scenery,The Art of Enframed Scenery
gamification design,Gamification Design
gesture interaction,Gesture Interaction
learning with label proportions,Learning with label proportions
relative performance,relative performance
risk control,risk control
investment and proportional reinsurance,Investment and proportional reinsurance
delay,delay
cev model,CEV model
twin support vector machine,Twin support vector machine
nonparallel plane learning,Nonparallel plane learning
least squares,least squares
data uncertainty,Data uncertainty
heuristic framework,Heuristic framework
chinese natural language processing,Chinese natural language processing
chinese named entity recognition,Chinese named entity recognition
transformer block,Transformer Block
lstm-crf,LSTM-CRF
object tracking,Object tracking
plk optical flow,PLK optical flow
adaptive,Adaptive
bayesian method,Bayesian method
multi-modal sentiment analysis,Multi-modal sentiment analysis
sentiment analysis,Sentiment analysis
social data mining,Social data mining
electroencephalography,Electroencephalography
electrocardiography,Electrocardiography
emotion recognition,Emotion recognition
frequency-domain analysis,Frequency-domain analysis
feature extraction,Feature extraction
internet of things,Internet of Things
wavelet packets,Wavelet packets
electrocardiogram (ecg),Electrocardiogram (ECG)
eeg,EEG
feature fusion networks,feature fusion networks
hrv,HRV
joint extraction of entities and relations,Joint extraction of entities and relations
relation feature,Relation feature
multi-head attention,multi-head attention
sequence annotation,Sequence annotation
prototypes,Prototypes
logic gates,Logic gates
scene classification,Scene classification
few shot learning,Few shot learning
training,Training
adaptation models,Adaptation models
standards,Standards
few-shot learning (fsl),few-shot learning (FSL)
few-shot remote sensing scene classification (fsrsc),few-shot remote sensing scene classification (FSRSC)
vehicular fog computing,Vehicular fog computing
point of interest,Point of interest
task offloading,task offloading
delay constraints,Delay constraints
quadrature amplitude modulated receiver,Quadrature amplitude modulated receiver
residual carrier,Residual carrier
blind source separation,blind source separation
recursive least squares,Recursive least squares
multi-instance learning,Multi-instance learning
universum data,Universum data
manifold learning,Manifold learning
dimensionality reduction,Dimensionality reduction
frequency domain correlationship,Frequency Domain Correlationship
semi-supervised classification,Semi-supervised Classification
digital transformation,Digital transformation
ambidextrous innovation,ambidextrous innovation
knowledge flow,knowledge flow
heterogeneity test,heterogeneity test
multiple data streams,Multiple data streams
multi-beam optical measurement,multi-beam optical measurement
cylindrical surface profile,cylindrical surface profile
machine vision,Machine Vision
surface normal vector,surface normal vector
anomaly detection,Anomaly detection
support vector data description,Support vector data description
partial label learning,Partial label learning
univerisum data,Univerisum data
one-class classifier,One-class classifier
uwb,UWB
two-way ranging,Two-way ranging
cooperative positioning,cooperative positioning
least square,least square
multi-dimensional scaling,Multi-dimensional scaling
sparse representation,Sparse representation
adaptive control,Adaptive control
actuator failures,Actuator failures
fuzzy systems,Fuzzy systems
neural networks,neural networks
backstepping,Backstepping
adaboost,Adaboost
service design,Service Design
extension service creation method,Extension Service Creation Method
internet of things (lot),internet of things (loT)
smart logistics,smart logistics
express companies,express companies
privacy policy evaluation,privacy policy evaluation
cloud model,cloud model
transductive learning,Transductive learning
support vector machines,Support vector machines
prior knowledge,Prior knowledge
information entropy,Information entropy
adaptive antenna arrays,adaptive antenna arrays
relay networks (telecommunication),relay networks (telecommunication)
multimodal fusion,multimodal fusion
emotion,emotion
multimodal representation learning,multimodal representation learning
anti-offset performance,anti-offset performance
dual-side-detuned compensation network,dual-side-detuned compensation network
rated coupling coefficient,rated coupling coefficient
wireless power transfer,wireless power transfer
transfer learning (tl),Transfer learning (TL)
learning using privileged information&nbsp,Learning using privileged information&nbsp
(lupi),(LUPI)
data stream,Data stream
recommendation system,recommendation system
dynamic curriculum learning,Dynamic Curriculum Learning
apmoe,APMoE
parameter-efficient fine-tuning,Parameter-Efficient Fine-Tuning
video-text alignment,Video-Text Alignment
temporal reasoning,Temporal Reasoning
identity preservation,Identity Preservation
video generation,Video Generation
fine-tuned models,Fine-tuned Models
fe-co-si-b-c metallic glass,Fe-Co-Si-B-C metallic glass
ab initio molecular dynamics simulations,Ab initio molecular dynamics simulations
atomic structure,Atomic structure
glass-forming ability,Glass-forming ability
magnetic properties,Magnetic properties
time-varying,Time-varying
adaptive fuzzy control,Adaptive Fuzzy Control
nonlinear systems,nonlinear systems
fixed-time,Fixed-time
biological interaction,Biological interaction
bioethics,Bioethics
design for death,Design for death
biological materials,Biological materials
person re-identification,Person re-identification
keyframes of video sequence,Keyframes of video sequence
multi-frame fusion,Multi-frame fusion
relocalization,Relocalization
iiot,IIoT
mobile robot,mobile robot
yolov3,YOLOv3
double-sided structure grating,double-sided structure grating
polarizing beam splitter,polarizing beam splitter
polarization independence,polarization independence
wide bandwidth,Wide bandwidth
high efficiency,high efficiency
android malware detection,Android Malware Detection
mixture of experts,Mixture of Experts
t-shape parking slot detection,T-shape parking slot detection
sccn detector,SCCN detector
half-heatmap,Half-Heatmap
multibins,MultiBins
midline-grid,Midline-grid
magnetic resonance imaging,Magnetic resonance imaging
medical image segmentation,Medical Image Segmentation
deep neural network,Deep neural network
polyp segmentation,Polyp segmentation
medical image processing,Medical image processing
visual tracking,visual tracking
transformer-based tracking,transformer-based Tracking
motion priors,Motion Priors
efficient training,Efficient Training
textcnn,TextCNN
adversarial training,adversarial training
interactive attention,Interactive Attention
brightness adaptation,brightness adaptation
image saliency,image saliency
robotic visual perception,robotic visual perception
simulated annealing algorithm,simulated annealing algorithm
monte carlo simulation,Monte Carlo simulation
spearman coefficients,Spearman coefficients
greedy ideas,greedy ideas
multimodal relation extraction,Multimodal relation extraction
genetics,Genetics
cross attention,Cross attention
aspect-based sentiment analysis,Aspect-Based Sentiment Analysis
word embedding,Word embedding
long short-term memory,Long short-term memory
attention mechanism,attention mechanism
dynamic frequency-aware,Dynamic frequency-aware
hybrid attention,Hybrid attention
medical image analysis,medical image analysis
vinyl polysilazane,Vinyl polysilazane
dlp,DLP
al flake,Al flake
active filler,Active filler
helical antennas,Helical antennas
antenna radiation patterns,Antenna radiation patterns
dipole antennas,Dipole antennas
polarization,Polarization
couplers,Couplers
baluns,Baluns
resonant frequency,Resonant frequency
resistance,Resistance
conductors,Conductors
bandwidth,Bandwidth
axial ratio,Axial ratio
circularly polarized antenna,circularly polarized antenna
image encryption,Image encryption
1d-chaotic system,1D-chaotic system
banyan network,Banyan network
sha-256 hash function,SHA-256 hash function
dna encoding,DNA encoding
wideband,Wideband
antenna arrays,Antenna arrays
gain,Gain
broadband antennas,Broadband antennas
impedance,Impedance
gain measurement,Gain measurement
electric fields,Electric fields
directive antennas,Directive antennas
slot antennas,Slot antennas
cascaded structure,Cascaded structure
vehicular ad hoc networks,Vehicular ad hoc networks
dnn inference,DNN inference
two-level offloading,two-level offloading
distributed algorithm,distributed algorithm
coalition game,coalition game
visual security,Visual security
parallel compressive sensing,parallel compressive sensing
edge detection embedding,edge detection embedding
05.45.gg,05.45.Gg
05.45.-a,05.45.-a
josephus ring,Josephus ring
image cryptosystem,Image cryptosystem
scrambling framework,Scrambling framework
plaintext-related,Plaintext-related
chaotic mapping,chaotic mapping
efficiency,Efficiency
discrete wavelet transform,discrete wavelet transform
selective encryption,selective encryption
gaussianization operation,Gaussianization operation
43.60.hj,43.60.Hj
multi-view stereo,Multi-View Stereo
large-scale scenes,Large-scale scenes
weakly textured regions,weakly textured regions
image pyramid structure,Image pyramid structure
detailed information,Detailed information
optical flow consistency,Optical flow consistency
epipolar line constraint,Epipolar line constraint
depth filling,Depth filling
depth estimation,Depth estimation
3d reconstruction,3D reconstruction
software-defined network,Software-defined network
network function virtualization,Network Function Virtualization
delay-aware unicast routing,Delay-aware unicast routing
service function chain,Service Function Chain
fuzzy rough set,fuzzy rough set
grid,Grid
cluster,Cluster
tongue diagnosis of tcm,Tongue Diagnosis Of TCM
intelligent inference,intelligent inference
6t-sram,6T-SRAM
bit flip,bit flip
neural network,neural network
noise injection,noise injection
one-class classification,One-class classification
multi-view data,Multi-view data
phosphor,Phosphor
wleds,wLEDs
eu 3+,Eu 3+
digital technology,digital technology
industrial change,Industrial change
social-technical system theory,Social-technical system theory
empirical analysis,Empirical analysis
diagnosability,Diagnosability
polynomial method,polynomial method
stochastic discrete-event systems,stochastic discrete-event systems
sufficient condition,sufficient condition
event logic knowledge graph,event logic knowledge graph
fault diagnosis,Fault diagnosis
knowledge joint extraction,Knowledge Joint Extraction
bigcn,BiGCN
adaptive allocation,Adaptive allocation
constraint-handling technique,constraint-handling technique
m2m,M2M
value co-creation behavior,Value co-creation behavior
customer service well-being,Customer service well-being
perceived doctor's contribution behavior,Perceived doctor's contribution behavior
task orientation,Task orientation
task complexity,Task complexity
connected and autonomous vehicle,Connected and autonomous vehicle
multi-vehicle coordination,multi-vehicle coordination
prioritized-based experience replay buffer,prioritized-based experience replay buffer
reinforcement learning,Reinforcement learning
evolutionary computations,Evolutionary computations
objective reduction,objective reduction
population decomposition,population decomposition
hyperplane approximation,Hyperplane approximation
periodontitis,Periodontitis
biomarkers,biomarkers
network analysis,Network Analysis
integration,Integration
public microarrary datasets,public microarrary datasets
nir pc-leds,NIR pc-LEDs
cr3+,Cr3+
fluorides,fluorides
broadband,Broadband
luminescence thermal stability,luminescence thermal stability
e-healthcare system,E-healthcare system
spectrum access,Spectrum access
secure sensing,Secure sensing
primary user emulation attack,Primary user emulation attack
chaotic map,chaotic map
josephus traversing,Josephus traversing
simultaneous permutation and diffusion,simultaneous permutation and diffusion
medical image encryption,medical image encryption
backlash nonlinearity,backlash nonlinearity
visual servoing,visual servoing
eye-to-hand,eye-to-hand
graph feature extraction,Graph feature extraction
graph classification,Graph classification
diamond,diamond
focused ion beam processing,focused ion beam processing
monte carlo,Monte Carlo
parameter optimization,Parameter Optimization
dual-band antenna,dual-band antenna
monopole antenna,monopole antenna
shared-aperture antenna,shared-aperture antenna
slot antenna,slot antenna
wideband antenna,wideband antenna
base station sharing,Base station sharing
surrogate model,Surrogate model
population migration,Population migration
cskna2(li3sio4)4,CsKNa2(Li3SiO4)4
csk2na(li3sio4)4,CsK2Na(Li3SiO4)4
eu2+,Eu2+
narrow-band,narrow-band
green,green
two-dimensional data,two-dimensional data
sparse matrix regression,sparse matrix regression
feature selection,feature selection
semi-supervised learning,semi-supervised learning
organic solar cells,Organic solar cells
asymmetric benzothiazole,Asymmetric benzothiazole
non-fused ring acceptors,Non-fused ring acceptors
fluorination,Fluorination
active layer morphology,Active layer morphology
mobile edge computing,Mobile edge computing
personalized service customization,personalized service customization
resource allocation,resource allocation
digital innovation,Digital innovation
core competence,core competence
absorptive capacity,absorptive capacity
value creation,value creation
manufacturing,Manufacturing
configuration,Configuration
mvc model,MVC model
java bean,Java bean
j2ee,J2EE
customized query,customized query
innovative design,innovative design
compound-element,Compound-element
visualization,Visualization
ordinal regression,Ordinal regression
privileged information,Privileged information
manifold regularization,Manifold regularization
feature augmentation,Feature augmentation
privilege information learning,Privilege information learning
pu learning,PU learning
phishing detection,phishing detection
phishing target,phishing target
deep forest,Deep Forest
acupuncture robot,Acupuncture Robot
admittance control,Admittance Control
keypoint detection,Keypoint Detection
ionic wind,ionic wind
numerical simulation,Numerical Simulation
heat sink,heat sink
hypervolume,Hypervolume
moeas,MOEAs
performance metrics,Performance metrics
the bs sleeping strategy,The BS sleeping strategy
smart grid energy procurement,smart grid energy procurement
bvdpso,BVDPSO
vehicle to grid (v2g),Vehicle to Grid (V2G)
satisfaction aware control scheme,satisfaction aware control scheme
distributed generation,Distributed generation
particle swarm optimization (pso),Particle swarm optimization (PSO)
peak-valley difference,peak-valley difference
paper,Paper
deacidification,Deacidification
supercritical carbon dioxide,Supercritical carbon dioxide
ph,pH
mechanical properties,Mechanical properties
calcium propionate,calcium propionate
magnesium bicarbonate,magnesium bicarbonate
clutch,clutch
opening force measurement,opening force measurement
dynamic compensation,dynamic compensation
intelligent system,intelligent system
led light source,LED light source
symbol sequence,Symbol sequence
catastrophic failure,Catastrophic failure
lumen depreciation,Lumen depreciation
reliability assessment,Reliability assessment
unsupervised domain adaptation,unsupervised domain adaptation
mutual distillation,Mutual distillation
cnns & vits,CNNs & ViTs
r2r processing roll shaft,R2R processing roll shaft
performance degradation,performance degradation
logistic regression model,logistic regression model
edge computing,Edge computing
computation offloading,computation offloading
multiple rounds,Multiple rounds
mobile device cloud,Mobile device cloud
long-term,Long-term
auction,Auction
phase change,phase change
thermal interface materials,Thermal interface materials
covalent bond cross-linking,Covalent bond cross-linking
interface adaptability,Interface adaptability
asynchronous,Asynchronous
discrete-time systems,discrete-time systems
impulsive switched systems,impulsive switched systems
input-to-state stability,input-to-state stability
krasovskii and razumikhin approaches,Krasovskii and Razumikhin approaches
time-varying systems,time-varying systems
compound distance,compound distance
constraint handling,Constraint handling
multi-objective optimization,Multi-objective optimization
power line inspection,Power line inspection
point cloud segmentation,point cloud segmentation
constrained multiobjective optimization,Constrained Multiobjective Optimization
achievement scalarizing function,achievement scalarizing function
solar cell module,Solar cell module
cooling,Cooling
pv/t,PV/T
thermal economy,Thermal economy
cooperative workflow,cooperative workflow
knowledge library,knowledge library
modern management information system,Modern Management Information System
intranet,Intranet
web,Web
firewall,firewall
aerostatic guide way,Aerostatic guide way
restrictor,Restrictor
carrying capacity,Carrying capacity
stiffness,Stiffness
ansys,ANSYS
gravel,Gravel
the grass-roots level,The grass-roots level
warm-mix asphalt,Warm-mix asphalt
energy saving analysis,Energy saving analysis
pvc,PVC
nbr,NBR
baso4,BaSO4
hybrid strengthening,Hybrid strengthening
numerical analysis,Numerical analysis
interface stress,interface stress
pre-stress,pre-stress
data fusion,data fusion
meta-data,meta-data
bayes network,Bayes network
agent,agent
odbc,ODBC
ado/ole db,ADO/OLE DB
line spectral estimation,Line spectral estimation
multiple snapshots,Multiple snapshots
bilinear generalized approximate message,Bilinear generalized approximate message
passing,passing
belief propagation,Belief propagation
expectation-maximization,Expectation-maximization
zero-shot learning,Zero-shot learning
generalized zero-shot learning,Generalized zero-shot learning
generative model,Generative model
object recognition,object recognition
building energy conservation,Building energy conservation
solar energy,Solar energy
cool-storage mode solar photovoltaic module,Cool-storage mode solar photovoltaic module
heat supply,Heat supply
cathode arc ion-plating,cathode arc ion-plating
multi-component films,multi-component films
microhardness,Microhardness
high temperature oxidation performance,high temperature oxidation performance
variable structure control,variable structure control
delays,Delays
interconnected system,interconnected system
structure,structure
chest measurement,Chest measurement
measurement technology,Measurement technology
data accumulation,Data accumulation
developmental stage,Developmental stage
painting robot,Painting Robot
robot control system,robot control system
googol motion controller,googol motion controller
windows ce system,windows CE system
personalized interaction,Personalized interaction
interaction design,Interaction design
user's interactive experience,User's interactive experience
criterion,Criterion
large-scale power grid,Large-scale power grid
mixed-type attacks,Mixed-type attacks
distributed state estimation,Distributed state estimation
hot bonding,hot bonding
flow stress,flow stress
constitutive behavior,constitutive behavior
microstructural evolution,microstructural evolution
dynamic recovery,dynamic recovery
cluster mr effect,Cluster MR effect
material removal mechanism,Material removal mechanism
polishing pressure,Polishing pressure
semi-fixed abrasive,Semi-fixed abrasive
flexible material path processing,Flexible material path processing
deformation-compensated modeling,deformation-compensated modeling
t-s fuzzy neural network,T-S fuzzy neural network
abnormal behavior detection,Abnormal behavior detection
lucas-kanade method tracking,Lucas-Kanade method tracking
angle histogram,Angle histogram
entropy,Entropy
image denoising,Image denoising
anisotropic total variation,anisotropic total variation
structure tensor total variation,structure tensor total variation
weighted matrix,weighted matrix
infrared photodetector,Infrared photodetector
two-photon absorption,two-photon absorption
transition metal dichalcogenides,transition metal dichalcogenides
sibling relationship,sibling relationship
intellectual disabilities,intellectual disabilities
affiliated stigma,affiliated stigma
motivation,motivation
contact frequency,contact frequency
mediation,mediation
slam,SLAM
semantic segmentation,semantic segmentation
augmented reality,augmented reality
cloud storage,cloud storage
fingerprint identification,fingerprint identification
the authentication protocol,the authentication protocol
mixed encryption,mixed encryption
safety,Safety
video segmentation,Video segmentation
shot boundary,Shot boundary
cooperative model,Cooperative model
hsm,HSM
comer,comer
toolpath optimization,toolpath optimization
electrochemical micromachining,electrochemical micromachining
generating machining,generating machining
on-line tool fabrication,on-line tool fabrication
alpha -digoal dominance,alpha -digoal dominance
beta -bidiagnal dominance,beta -bidiagnal dominance
stability,stability
m-matrix,M-matrix
2d lidar,2D LiDAR
wheel odometry,wheel odometry
tightly coupled odometry,tightly coupled odometry
loop detection,loop detection
constrained optimization,Constrained optimization
tchebycheff approach,Tchebycheff approach
weighted sum approach,weighted sum approach
production system,production system
material flow,material flow
optimization batch,optimization batch
processing time,processing time
scheduling rules,scheduling rules
failure probability,Failure probability
array sensors,array sensors
optical tomography,optical tomography
sensing field,sensing field
sensitivity distribution map,sensitivity distribution map
multi-agent,multi-agent
soccer robot,soccer robot
cooperation problem solving,Cooperation Problem Solving
kqml,KQML
speech act,speech act
subwavelength grating,Subwavelength grating
multilayer structure,Multilayer structure
normal incidence,Normal incidence
dual-port splitter,Dual-port splitter
cooperative intrusion detection,Cooperative intrusion detection
isomorphic transformation,Isomorphic transformation
topological order,Topological order
crucial operation,Crucial operation
shot boundary detection,shot boundary detection
temporal video segmentation,temporal video segmentation
video retrieval,video retrieval
micp,MICP
grouting batches,grouting batches
sand,sand
physical and mechanical properties,physical and mechanical properties
sem,SEM
environmental factors,environmental factors
roughness height,Roughness height
vortex shedding,Vortex shedding
drag coefficient,Drag coefficient
lift coefficient,Lift coefficient
pressure coefficient,Pressure coefficient
externally pressurized air bearing,Externally Pressurized Air Bearing
fema,FEMA
ema,EMA
spring,Spring
er fluid,ER fluid
