paper_id,journal_id
WOS:000959789300001,INFORMATION SCIENCES
WOS:001075219600001,JOURNAL OF INFORMATION SECURITY AND APPLICATIONS
WOS:000915840100001,INFORMATION SCIENCES
WOS:000518492400006,KNOWLEDGE-BASED SYSTEMS
WOS:001767665300001,BIOMEDICAL SIGNAL PROCESSING AND CONTROL
WOS:000579857700006,"2019 INTERNATIONAL CONFERENCE ON INTERNET OF THINGS (ITHINGS) AND IEEE GREEN COMPUTING AND COMMUNICATIONS (GREENCOM) AND IEEE CYBER, PHYSICAL AND SOCIAL COMPUTING (CPSCOM) AND IEEE SMART DATA (SMARTDATA)"
WOS:000579857700007,"2019 INTERNATIONAL CONFERENCE ON INTERNET OF THINGS (ITHINGS) AND IEEE GREEN COMPUTING AND COMMUNICATIONS (GREENCOM) AND IEEE CYBER, PHYSICAL AND SOCIAL COMPUTING (CPSCOM) AND IEEE SMART DATA (SMARTDATA)"
WOS:000703866100207,2021 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC 2021)
WOS:000241008400034,9th International Conference on Inspection Appraisal Repairs & Maintenance of Structures
WOS:000189505200141,ADVANCES IN GRINDING AND ABRASIVE PROCESSES
WOS:001285848600010,"HCI IN GAMES, PT I, HCI-GAMES 2024"
WOS:000573604400013,INFORMATION SCIENCES
WOS:001468918300001,JOURNAL OF DYNAMICS AND GAMES
WOS:000653607600148,"16TH IEEE INTERNATIONAL CONFERENCE ON CONTROL, AUTOMATION, ROBOTICS AND VISION (ICARCV 2020)"
WOS:000990298000001,METHODOLOGY AND COMPUTING IN APPLIED PROBABILITY
WOS:000842889400002,APPLIED INTELLIGENCE
WOS:000753474400001,ELECTRONICS LETTERS
WOS:000683376600017,SSPS 2020: 2020 2ND SYMPOSIUM ON SIGNAL PROCESSING SYSTEMS
WOS:000531730500015,NEUROCOMPUTING
WOS:000744829500005,APPLIED INTELLIGENCE
WOS:001203463700097,IEEE INTERNET OF THINGS JOURNAL
WOS:000668827800003,APPLIED INTELLIGENCE
WOS:001608973300014,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS
WOS:001087354000001,JOURNAL OF SUPERCOMPUTING
WOS:001266031200001,JOURNAL OF INDUSTRIAL AND MANAGEMENT OPTIMIZATION
WOS:000387735900008,CHINESE JOURNAL OF ELECTRONICS
WOS:001302726100001,INFORMATION SCIENCES
WOS:001254718600001,APPLIED SCIENCES-BASEL
WOS:001308432000002,JOURNAL OF INFORMATION & KNOWLEDGE MANAGEMENT
WOS:001199115100001,INFORMATION SCIENCES
WOS:001056191700001,MICROMACHINES
WOS:001097332600001,EXPERT SYSTEMS WITH APPLICATIONS
WOS:001302637800001,INFORMATION SCIENCES
WOS:000788241100004,INFORMATION SCIENCES
WOS:000679379400003,KNOWLEDGE-BASED SYSTEMS
WOS:001706267700268,"2025 SEVENTEENTH INTERNATIONAL CONFERENCE ON WIRELESS COMMUNICATIONS AND SIGNAL PROCESSING, WCSP"
WOS:000701977200009,INFORMATION SCIENCES
WOS:000390239500070,IEEE ICCSS 2016 - 2016 3RD INTERNATIONAL CONFERENCE ON INFORMATIVE AND CYBERNETICS FOR COMPUTATIONAL SOCIAL SYSTEMS (ICCSS)
WOS:000861074800004,INFORMATION SCIENCES
WOS:000765802100128,8TH INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY AND QUANTITATIVE MANAGEMENT (ITQM 2020 & 2021): DEVELOPING GLOBAL DIGITAL ECONOMY AFTER COVID-19
WOS:000670552200318,2019 INTERNATIONAL CONFERENCE ON MICROWAVE AND MILLIMETER WAVE TECHNOLOGY (ICMMT 2019)
WOS:001288538800005,"2022 6TH INTERNATIONAL CONFERENCE ON CRYPTOGRAPHY, SECURITY AND PRIVACY, CSP 2022"
WOS:000606398900001,APPLIED INTELLIGENCE
WOS:001142008100001,ELECTRONICS LETTERS
WOS:001285554600029,"WEB AND BIG DATA, PT II, APWEB-WAIM 2023"
WOS:001139990300001,INTERNATIONAL JOURNAL OF CIRCUIT THEORY AND APPLICATIONS
WOS:000770686400012,INFORMATION SCIENCES
WOS:000590678500006,INFORMATION SCIENCES
WOS:001748982800013,"2025 IEEE INTERNATIONAL CONFERENCE ON DATA MINING, ICDM"
WOS:001671135600721,PROCEEDINGS OF THE 33RD ACM INTERNATIONAL CONFERENCE ON MULTIMEDIA (MM 2025)
WOS:001223376200001,MATERIALS TODAY COMMUNICATIONS
WOS:000954680700004,NONLINEAR DYNAMICS
WOS:001170339900026,"PROCEEDINGS OF THE TENTH INTERNATIONAL SYMPOSIUM OF CHINESE CHI, CHINESE CHI 2022"
WOS:000620238600007,JOURNAL OF THE FRANKLIN INSTITUTE
WOS:000683376600009,SSPS 2020: 2020 2ND SYMPOSIUM ON SIGNAL PROCESSING SYSTEMS
WOS:000577441800025,JOURNAL OF INTERNET TECHNOLOGY
WOS:001235148700001,PHYSICA SCRIPTA
WOS:001711528900051,"2025 IEEE 24TH INTERNATIONAL CONFERENCE ON TRUST, SECURITY AND PRIVACY IN COMPUTING AND COMMUNICATIONS, TRUSTCOM"
WOS:001221464400001,JOURNAL OF REAL-TIME IMAGE PROCESSING
WOS:001327781706075,"2024 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION WORKSHOPS, CVPRW"
WOS:000897031800023,"PRICAI 2022: TRENDS IN ARTIFICIAL INTELLIGENCE, PT I"
WOS:001161140100005,MULTIMEDIA TOOLS AND APPLICATIONS
WOS:001364925203038,"2024 IEEE INTERNATIONAL CONFERENCE ON MULTIMEDIA AND EXPO, ICME 2024"
WOS:001251222100081,"2024 16TH INTERNATIONAL CONFERENCE ON MACHINE LEARNING AND COMPUTING, ICMLC 2024"
WOS:001507600700189,"2019 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND BIOMIMETICS, ROBIO"
WOS:000698438900001,INTERNATIONAL JOURNAL OF ANTENNAS AND PROPAGATION
WOS:001752201800107,"2025 IEEE INTERNATIONAL CONFERENCE ON ELECTRONICS, ENERGY SYSTEMS AND POWER ENGINEERING, EESPE"
WOS:001282078400058,"PROCEEDINGS OF THE 4TH ANNUAL ACM INTERNATIONAL CONFERENCE ON MULTIMEDIA RETRIEVAL, ICMR 2024"
WOS:001062858300001,APPLIED INTELLIGENCE
WOS:001676840900001,INFORMATION SCIENCES
WOS:000883835700004,JOURNAL OF THE EUROPEAN CERAMIC SOCIETY
WOS:001590940400001,IEEE ANTENNAS AND WIRELESS PROPAGATION LETTERS
WOS:001099574900001,MATHEMATICS
WOS:001685600500015,IEEE ANTENNAS AND WIRELESS PROPAGATION LETTERS
WOS:001534324800017,"ALGORITHMS AND ARCHITECTURES FOR PARALLEL PROCESSING, ICA3PP 2024, PT IV"
WOS:001138592600001,CHINESE PHYSICS B
WOS:000776984800001,ENTROPY
WOS:001185370000001,CHINESE PHYSICS B
WOS:001183390100001,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING
WOS:000920954900014,"WIRELESS SENSOR NETWORKS, CWSN 2022"
WOS:000263466105491,"2008 4TH INTERNATIONAL CONFERENCE ON WIRELESS COMMUNICATIONS, NETWORKING AND MOBILE COMPUTING, VOLS 1-31"
WOS:001534262100016,"2025 26TH INTERNATIONAL CONFERENCE ON THERMAL, MECHANICAL AND MULTI-PHYSICS SIMULATION AND EXPERIMENTS IN MICROELECTRONICS AND MICROSYSTEMS, EUROSIME"
WOS:001370884000001,INFORMATION SCIENCES
WOS:001300021600001,OPTICAL MATERIALS
WOS:001137398900001,COMPUTERS & INDUSTRIAL ENGINEERING
WOS:000905414100001,ASIAN JOURNAL OF CONTROL
WOS:000867070901085,2022 INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORKS (IJCNN)
WOS:000672232700005,INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE
WOS:001398947500001,JOURNAL OF RESEARCH IN INTERACTIVE MARKETING
WOS:001706365700016,"2025 9TH CAA INTERNATIONAL CONFERENCE ON VEHICULAR CONTROL AND INTELLIGENCE, CVCI"
WOS:001187915500001,SWARM AND EVOLUTIONARY COMPUTATION
WOS:001252885200001,FRONTIERS IN GENETICS
WOS:000643578300110,ACS APPLIED MATERIALS & INTERFACES
WOS:000406777300025,WIRELESS PERSONAL COMMUNICATIONS
WOS:001204909300001,PHYSICA SCRIPTA
WOS:000390239500053,IEEE ICCSS 2016 - 2016 3RD INTERNATIONAL CONFERENCE ON INFORMATIVE AND CYBERNETICS FOR COMPUTATIONAL SOCIAL SYSTEMS (ICCSS)
WOS:001542057400002,INFORMATION SCIENCES
WOS:001668023100001,FUNCTIONAL DIAMOND
WOS:001797677200001,MICROWAVE AND OPTICAL TECHNOLOGY LETTERS
WOS:001011539500001,INFORMATION SCIENCES
WOS:000870331700001,ACS APPLIED MATERIALS & INTERFACES
WOS:000629193700041,2020 10TH INTERNATIONAL CONFERENCE ON INFORMATION SCIENCE AND TECHNOLOGY (ICIST)
WOS:001724804500001,DYES AND PIGMENTS
WOS:001208873100001,IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTATIONAL INTELLIGENCE
WOS:001548233600003,NEUROCOMPUTING
WOS:000998347700001,EMERGING MARKETS FINANCE AND TRADE
WOS:000670552200177,2019 INTERNATIONAL CONFERENCE ON MICROWAVE AND MILLIMETER WAVE TECHNOLOGY (ICMMT 2019)
WOS:000236990600041,DYNAMICS OF CONTINUOUS DISCRETE AND IMPULSIVE SYSTEMS-SERIES A-MATHEMATICAL ANALYSIS
WOS:000765802100126,8TH INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY AND QUANTITATIVE MANAGEMENT (ITQM 2020 & 2021): DEVELOPING GLOBAL DIGITAL ECONOMY AFTER COVID-19
WOS:000540693100002,KNOWLEDGE-BASED SYSTEMS
WOS:001767213200001,KNOWLEDGE-BASED SYSTEMS
WOS:001457210400001,INFORMATION SCIENCES
WOS:001441950800001,INFORMATION SCIENCES
WOS:001053617500001,INFORMATION SCIENCES
WOS:000455146803112,2018 24TH INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION (ICPR)
WOS:000754310500003,APPLIED PHYSICS LETTERS
WOS:001324993504136,"2024 43RD CHINESE CONTROL CONFERENCE, CCC 2024"
WOS:001001909900007,THERMOPHYSICS AND AEROMECHANICS
WOS:000441208400002,"INTELLIGENT COMPUTING THEORIES AND APPLICATION, ICIC 2017, PT I"
WOS:000400497700026,2016 IEEE INTERNATIONAL CONFERENCE ON CONSUMER ELECTRONICS-CHINA (ICCE-CHINA)
WOS:000380444800042,2015 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC)
WOS:000330569800175,2013 8TH INTERNATIONAL ICST CONFERENCE ON COMMUNICATIONS AND NETWORKING IN CHINA (CHINACOM)
WOS:000336634801240,"ADVANCES IN CHEMICAL ENGINEERING III, PTS 1-4"
WOS:000264555400078,"ICNC 2008: FOURTH INTERNATIONAL CONFERENCE ON NATURAL COMPUTATION, VOL 4, PROCEEDINGS"
WOS:000166937900325,"PROCEEDINGS OF THE 3RD WORLD CONGRESS ON INTELLIGENT CONTROL AND AUTOMATION, VOLS 1-5"
WOS:000932590600001,MICROELECTRONICS RELIABILITY
WOS:000900752000006,INFORMATION SCIENCES
WOS:000584334300151,PROCEEDINGS OF 2019 14TH IEEE INTERNATIONAL CONFERENCE ON ELECTRONIC MEASUREMENT & INSTRUMENTS (ICEMI)
WOS:000717218600028,"ALGORITHMS AND ARCHITECTURES FOR PARALLEL PROCESSING, ICA3PP 2018, PT III"
WOS:001359985000001,SURFACES AND INTERFACES
WOS:000810805900001,ASIAN JOURNAL OF CONTROL
WOS:000672533000004,AIMS MATHEMATICS
WOS:000470180300001,JOURNAL OF SENSORS
WOS:000670552200472,2019 INTERNATIONAL CONFERENCE ON MICROWAVE AND MILLIMETER WAVE TECHNOLOGY (ICMMT 2019)
WOS:001312829200014,"PATTERN RECOGNITION AND COMPUTER VISION, PT I, PRCV 2019"
WOS:000468383400216,2018 ASIA-PACIFIC SIGNAL AND INFORMATION PROCESSING ASSOCIATION ANNUAL SUMMIT AND CONFERENCE (APSIPA ASC)
WOS:000404435600032,2016 IEEE/WIC/ACM INTERNATIONAL CONFERENCE ON WEB INTELLIGENCE WORKSHOPS (WIW 2016)
WOS:000276109800233,"6TH INTERNATIONAL SYMPOSIUM ON HEATING, VENTILATING AND AIR CONDITIONING, VOLS I-III, PROCEEDINGS"
WOS:000241246300224,"2006 10TH INTERNATIONAL CONFERENCE ON COMPUTER SUPPORTED COOPERATIVE WORK IN DESIGN, PROCEEDINGS, VOLS 1 AND 2"
WOS:000086662600013,"'99 INTERNATIONAL CONFERENCE ON MANAGEMENT SCIENCE & ENGINEERING, PROCEEDINGS, VOLS 1 AND 2"
WOS:000775333300036,ICCREM 2021: CHALLENGES OF THE CONSTRUCTION INDUSTRY UNDER THE PANDEMIC
WOS:000306504400103,FUNCTIONAL MANUFACTURING AND MECHANICAL DYNAMICS II
WOS:000319300000188,"ADVANCED MATERIALS AND PROCESSES II, PTS 1-3"
WOS:000309144500070,"ADVANCED MATERIALS AND PROCESSES, PTS 1-3"
WOS:000290370900017,PROCEEDINGS OF THE 6TH INTERNATIONAL SPECIALTY CONFERENCE ON FIBRE REINFORCED MATERIALS
WOS:000246326600004,PRAKTISCHE METALLOGRAPHIE-PRACTICAL METALLOGRAPHY
WOS:000228632800288,ICCC2004: Proceedings of the 16th International Conference on Computer Communication Vol 1and 2
WOS:000167673500055,PROCEEDINGS OF THE SEVENTH INTERNATIONAL CONFERENCE ON INDUSTRIAL ENGINEERING AND ENGINEERING MANAGEMENT
WOS:000789875300005,SIGNAL PROCESSING
WOS:001419498400021,"NEURAL INFORMATION PROCESSING, ICONIP 2021, PT IV"
WOS:000276109800237,"6TH INTERNATIONAL SYMPOSIUM ON HEATING, VENTILATING AND AIR CONDITIONING, VOLS I-III, PROCEEDINGS"
WOS:000228948100033,RARE METAL MATERIALS AND ENGINEERING
WOS:000221596500025,DYNAMICS OF CONTINUOUS DISCRETE AND IMPULSIVE SYSTEMS-SERIES B-APPLICATIONS & ALGORITHMS
WOS:000870260300015,"DIGITAL HUMAN MODELING AND APPLICATIONS IN HEALTH, SAFETY, ERGONOMICS AND RISK MANAGEMENT: ANTHROPOMETRY, HUMAN BEHAVIOR, AND COMMUNICATION, PT I"
WOS:000399337200111,SEVENTH INTERNATIONAL CONFERENCE ON ELECTRONICS AND INFORMATION ENGINEERING
WOS:000389459800007,"Universal Access in Human-Computer Interaction; Methods, Techniques, and Best Practices, Pt I"
WOS:000788750900005,SWARM AND EVOLUTIONARY COMPUTATION
WOS:000621616905053,PROCEEDINGS OF THE 32ND 2020 CHINESE CONTROL AND DECISION CONFERENCE (CCDC 2020)
WOS:000399304400012,STRENGTH OF MATERIALS
WOS:000365224400045,INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY
WOS:000335959500035,JOURNAL OF VIBROENGINEERING
WOS:000337476200074,INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND SOFTWARE ENGINEERING (AISE 2014)
WOS:001173268100042,JOURNAL OF ELECTRONIC IMAGING
WOS:001284491000001,NANOTECHNOLOGY
WOS:000731211200001,INTERNATIONAL JOURNAL OF DEVELOPMENTAL DISABILITIES
WOS:000442778600011,INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE
WOS:000414072200045,APPLIED SOFT COMPUTING
WOS:000349842800141,"PROCEEDINGS OF 2013 6TH INTERNATIONAL CONFERENCE ON INFORMATION MANAGEMENT, INNOVATION MANAGEMENT AND INDUSTRIAL ENGINEERING (ICIII 2013) VOL 1"
WOS:000263827900010,COMPUTER SUPPORTED COOPERATIVE WORK IN DESIGN IV
WOS:000249314100026,JOURNAL OF MATERIALS PROCESSING TECHNOLOGY
WOS:000227353600057,PROGRESS OF MACHINING TECHNOLOGY
WOS:000179017500214,"PROCEEDINGS OF THE 4TH WORLD CONGRESS ON INTELLIGENT CONTROL AND AUTOMATION, VOLS 1-4"
WOS:001207459500001,MEASUREMENT SCIENCE AND TECHNOLOGY
WOS:000399925504053,2016 INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORKS (IJCNN)
WOS:000230484501132,"2004 8TH INTERNATIONAL CONFERENCE ON CONTROL, AUTOMATION, ROBOTICS AND VISION, VOLS 1-3"
WOS:000230484501133,"2004 8TH INTERNATIONAL CONFERENCE ON CONTROL, AUTOMATION, ROBOTICS AND VISION, VOLS 1-3"
WOS:000187954200085,FIFTH INTERNATIONAL SYMPOSIUM ON INSTRUMENTATION AND CONTROL TECHNOLOGY
WOS:000186578600011,"2003 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN AND CYBERNETICS, VOLS 1-5, CONFERENCE PROCEEDINGS"
WOS:000180780900053,PROGRESS OF MACHINING TECHNOLOGY: WITH SOME TOPICS IN ADVANCED MANUFACTURING TECHNOLOGY
WOS:000178454300023,"ICEMS'2001: PROCEEDINGS OF THE FIFTH INTERNATIONAL CONFERENCE ON ELECTRICAL MACHINES AND SYSTEMS, VOLS I AND II"
WOS:001612622700001,OPTOELECTRONICS AND ADVANCED MATERIALS-RAPID COMMUNICATIONS
WOS:000263827900038,COMPUTER SUPPORTED COOPERATIVE WORK IN DESIGN IV
WOS:000256869500045,INFORMATION RETRIEVAL TECHNOLOGY
WOS:000243520100089,DYNAMICS OF CONTINUOUS DISCRETE AND IMPULSIVE SYSTEMS-SERIES A-MATHEMATICAL ANALYSIS
WOS:000461678300108,EKOLOJI
WOS:000425879400073,2017 ASIA-PACIFIC SIGNAL AND INFORMATION PROCESSING ASSOCIATION ANNUAL SUMMIT AND CONFERENCE (APSIPA ASC 2017)
WOS:000390287500046,"PROCEEDINGS OF THE 2016 2ND INTERNATIONAL CONFERENCE ON ARCHITECTURAL, CIVIL AND HYDRAULICS ENGINEERING (ICACHE 2016)"
WOS:000292114900113,HIGH SPEED MACHINING
